ZIP,ALand
85350,100025314
85349,42089520
85366,56407340
85048,5703861
85034,6624814
85268,4969751
85250,2293862
85018,6562047
85250,2544694
86004,783976367
85251,1048260
85281,8101442
85382,1325010
85281,3856655
85284,2572910
85207,7589777
85215,3611961
85203,1640802
85213,2544122
85203,1210887
86045,256564162
85201,2325570
85204,1309323
85210,2640384
85210,1289816
85233,7863204
85204,2604371
85236,10188812
85234,2541399
85208,2589086
85209,2574580
85554,1312861414
85224,2593315
85086,32164952
85310,5610089
85327,1327101
85383,6369958
85031,3382352
85382,3088968
85027,2537641
85382,2572912
85023,2295574
85552,4364873064
85032,2578786
85284,2738664
85226,2475231
85286,2639936
85248,5848500
85249,2482993
85295,2461759
71646,8925890
71937,3386763
72067,1241954
72517,34695451
72160,862209
72641,1437820
72351,942278
72437,7813225
72128,2254150
72847,8367188
72101,6175026
71753,34297267
72443,3379024
72938,893710
72392,2448451
72947,19548338
71960,2949651
72476,2591170
72121,1622380
72126,1092688
72110,2910771
72128,4243996
72461,3483501
72312,2607808
72760,697389
72150,31432696
71763,3379746
72160,18714298
71861,2585023
72473,7565972
71972,739509
71671,18679128
72392,8215627
72395,2771454
71859,5755191
72022,5864066
72112,287351
72360,914050
72011,8157675
72015,57564861
72447,1159367
72404,3723225
72634,12772835
72112,4467582
72932,22850530
71701,13749514
72034,119284002
71950,2953134
72645,56206975
71941,1693718
38631,1315264
72419,15293534
71635,3837259
71901,10103239
72732,15861130
72764,29650745
72936,28569727
72523,397504516
72543,28112755
72131,231597370
71740,771398921
72027,537641271
72110,187893462
72461,23798736
72401,4513948
72404,58304574
72401,67429442
72404,82429602
72411,222451392
72417,280198899
72956,65473970
72956,128044438
72956,8687299
72301,2718982
71665,812912304
72301,5601368
72331,389998788
72364,70427550
72331,461968909
72396,16743212
71763,723293792
71639,344997795
71638,1065672624
71655,61986438
72058,77173538
72110,187893462
72173,63190706
72032,53564278
72034,4690517
72034,5535368
72034,28234117
72949,822879986
72928,546451287
72583,912400687
71901,193095025
71913,9946666
72401,32225154
71914,18222079
71913,10077777
71901,21040169
71901,10127241
71949,31470299
72128,609700512
72450,150195788
72450,19504364
72450,15877751
71801,38552609
72932,500268926
71801,15677241
72104,9235421
71941,304776316
71851,423945383
72501,611728390
72562,436856960
72501,208691007
72517,529175065
72112,58671350
72112,818366114
72301,1568270
71602,34794965
71601,3106711
71603,3860359
71603,4085652
72653,27188908
71601,3286946
71603,115483489
72004,1069734353
72830,35487256
72846,216067962
72476,282495371
72364,52057912
72433,34349588
72372,408162808
71667,653465554
71822,147041746
71836,547369359
72943,318204754
72176,52732481
72023,8407544
72076,55261111
72046,381015472
72331,461968909
72740,86304224
72687,742463134
72634,424930920
71854,2104079
71854,3836414
71854,660955251
71854,4302099
72315,16038981
72315,619112710
72351,437284103
71639,344997795
72395,353924453
72029,911549635
71960,932562455
72641,600868738
71701,535090830
71701,8933152
71701,36212479
72853,723021827
72366,717763222
72390,16340512
72058,77173538
71958,561875125
72432,460178580
72432,407333100
71953,328088683
71972,491839239
72837,121658848
72801,19680873
72801,7520791
72064,560910180
72206,4648249
72032,12191535
72205,2872161
72207,6820231
72204,3470600
72204,4795150
72207,3409453
72205,2138562
72204,5830321
72201,2788581
72114,9606125
72114,2239169
72034,28234117
72118,3116328
72116,5503991
72120,41262158
72076,13051514
72076,5936933
72120,6787775
